,question,student answer,model answer,score,correct
1301,What is the main disadvantage of a doubly-linked list over a basic linked list?,nodes take up more memory,Extra space required to store the back pointers.,5.0,1
1302,What is the main disadvantage of a doubly-linked list over a basic linked list?,"Each node requires an extra pointerspace requirements increased, Insertion or deletion of a node takes a longermore pointer operations.",Extra space required to store the back pointers.,5.0,1
1303,What is the main disadvantage of a doubly-linked list over a basic linked list?,its a little more confusing. The special cases at the end and beginning become more difficult to do.,Extra space required to store the back pointers.,3.0,0
1304,What is the main disadvantage of a doubly-linked list over a basic linked list?,increased actions to add and remove elements to the linked list.,Extra space required to store the back pointers.,3.0,0
1305,What is the main disadvantage of a doubly-linked list over a basic linked list?,"Inserting and deleting in a double-linked list is more involved, and has special cases at the beginning and end.",Extra space required to store the back pointers.,3.0,0
1306,What is the main disadvantage of a doubly-linked list over a basic linked list?,The main disadvanate is that if hard to remove all items in the list.,Extra space required to store the back pointers.,2.0,0
1307,What is the main disadvantage of a doubly-linked list over a basic linked list?,"each node requires an extra pointer, taking up more storage. insertions and deletions require more pointer operations.",Extra space required to store the back pointers.,5.0,1
1308,What is the main disadvantage of a doubly-linked list over a basic linked list?,"in a doubly linked list there are twice as many pointers for each element, therefore more memory is used",Extra space required to store the back pointers.,5.0,1
1309,What is the main disadvantage of a doubly-linked list over a basic linked list?,The process of adding and removing Nodes in a Doubly linked list is more complex than in a basic linked list,Extra space required to store the back pointers.,3.5,0
1310,What is the main disadvantage of a doubly-linked list over a basic linked list?,"Double linked lists require more space per node, and their elementary operation are more expensive",Extra space required to store the back pointers.,5.0,1
1311,What is the main disadvantage of a doubly-linked list over a basic linked list?,"1-each node requires an extra pointer, requiring more space 2-the insertion or deletion of a node takes a bit longer, more pointer operations",Extra space required to store the back pointers.,5.0,1
1312,What is the main disadvantage of a doubly-linked list over a basic linked list?,It takes up twice the storage needed.,Extra space required to store the back pointers.,5.0,1
1313,What is the main disadvantage of a doubly-linked list over a basic linked list?,"using more pointers to enable the backward movement takes up more memory, having more pointers make it slightly more work to add or remove a node from the list",Extra space required to store the back pointers.,5.0,1
1314,What is the main disadvantage of a doubly-linked list over a basic linked list?,"increased memory requirements, slightly more complicated when modifying elements in the list",Extra space required to store the back pointers.,5.0,1
1315,What is the main disadvantage of a doubly-linked list over a basic linked list?,not answered,Extra space required to store the back pointers.,0.0,0
1316,What is a stack?,A data structure for storing items which are to be accessed in last-in first-out order that can be implemented in three ways.,"A data structure that can store elements, which has the property that the last item added will be the first to be removedor last-in-first-out",5.0,1
1317,What is a stack?,A stack is an abstract data type that is based on the principle that the last element inserted into the stack will be the first element removed from the stack.,"A data structure that can store elements, which has the property that the last item added will be the first to be removedor last-in-first-out",5.0,1
1318,What is a stack?,Stores a set of elements in a particular order.,"A data structure that can store elements, which has the property that the last item added will be the first to be removedor last-in-first-out",2.0,0
1319,What is a stack?,"An ADT whose most recently inserted item is the first item removed or retrieved. This property is called last in, first outLIFO. Items enter and leave a stack at its top.","A data structure that can store elements, which has the property that the last item added will be the first to be removedor last-in-first-out",5.0,1
1320,What is a stack?,A list in which only the topor last item addedcan be modified.,"A data structure that can store elements, which has the property that the last item added will be the first to be removedor last-in-first-out",4.5,1
1321,What is a stack?,a stack is a data structure that uses push to insert an item and pop to remove ad item. The stack use a last in first out structure for inserting and removing items.,"A data structure that can store elements, which has the property that the last item added will be the first to be removedor last-in-first-out",5.0,1
1322,What is a stack?,A data structure that stores data using LIFO.,"A data structure that can store elements, which has the property that the last item added will be the first to be removedor last-in-first-out",5.0,1
1323,What is a stack?,"A stack is similar to an array, but does not allow for random access. Stacks only allow a user to retrieve the last item put into the stack. Last in, fist out.","A data structure that can store elements, which has the property that the last item added will be the first to be removedor last-in-first-out",5.0,1
1324,What is a stack?,Stores a set of elements in a particular order. Stack principle: LAST IN FIRST OUT. It means: the last element inserted is the first one to be removed.,"A data structure that can store elements, which has the property that the last item added will be the first to be removedor last-in-first-out",5.0,1
1325,What is a stack?,A stack is an ADT that stores a set of elements in a particular order.,"A data structure that can store elements, which has the property that the last item added will be the first to be removedor last-in-first-out",2.5,0
1326,What is a stack?,"a data type that stores a set of elements in a certain order, last in, first out.","A data structure that can store elements, which has the property that the last item added will be the first to be removedor last-in-first-out",5.0,1
1327,What is a stack?,a data structure that moves elements in last in first out,"A data structure that can store elements, which has the property that the last item added will be the first to be removedor last-in-first-out",5.0,1
1328,What is a stack?,Stores a set of elements in a last in first out order.,"A data structure that can store elements, which has the property that the last item added will be the first to be removedor last-in-first-out",5.0,1
1329,What is a stack?,A list that can be added to or removed from only from the top.,"A data structure that can store elements, which has the property that the last item added will be the first to be removedor last-in-first-out",5.0,1
1330,What is a stack?,"a stack is an Abstract data type which operates on a last in first out basis for storing a list of objects, and does not supportat least in the pure stackpeeking at a element without removing the rest of the stack first.","A data structure that can store elements, which has the property that the last item added will be the first to be removedor last-in-first-out",5.0,1
1331,What is a stack?,Stores a set of elements in a particular order based on the principle of Last In First OutLIFO.,"A data structure that can store elements, which has the property that the last item added will be the first to be removedor last-in-first-out",5.0,1
1332,What is a stack?,"an object list that stores elements in a particular order, the first object inserted is at the bottom with the last object at the top so the first object in is the last object out.","A data structure that can store elements, which has the property that the last item added will be the first to be removedor last-in-first-out",5.0,1
1333,What is a stack?,An ADT that stores a set of elements in a particular order. The stack principles are LIFO. The last item inserted in the list is the first out.,"A data structure that can store elements, which has the property that the last item added will be the first to be removedor last-in-first-out",5.0,1
1334,What is a stack?,An abstract data type that stores a set of elements in a particular order.,"A data structure that can store elements, which has the property that the last item added will be the first to be removedor last-in-first-out",2.5,0
1335,What is a stack?,a collection of data to be executed in the order of last in first out,"A data structure that can store elements, which has the property that the last item added will be the first to be removedor last-in-first-out",5.0,1
1336,What is a stack?,"A stack is a data structure that allows data members to be added or removed one at a time, and in order. They are a Last in First Out structure.","A data structure that can store elements, which has the property that the last item added will be the first to be removedor last-in-first-out",5.0,1
1337,What is a stack?,Stores a set of element in a particular order,"A data structure that can store elements, which has the property that the last item added will be the first to be removedor last-in-first-out",2.0,0
1338,What is a stack?,is a list of element where the first one to be removed is the last one inserted,"A data structure that can store elements, which has the property that the last item added will be the first to be removedor last-in-first-out",5.0,1
1339,What is a stack?,A data structure that puts elements in a list and only allows the user access to the last element.,"A data structure that can store elements, which has the property that the last item added will be the first to be removedor last-in-first-out",4.5,1
1340,What is a stack?,a finite ordered list with zero or more elements,"A data structure that can store elements, which has the property that the last item added will be the first to be removedor last-in-first-out",2.0,0
1341,What is a stack?,"A storage container that holds objects in a certain order, which has a LIFO priority","A data structure that can store elements, which has the property that the last item added will be the first to be removedor last-in-first-out",5.0,1
1342,What is a stack?,"Stacks are a type of container adaptors, specifically designed to operate in a LIFO contextlast-in first-out, where elements are inserted and extracted only from the end of the container.","A data structure that can store elements, which has the property that the last item added will be the first to be removedor last-in-first-out",5.0,1
1343,What are the two main functions defined by a stack?,Push and pop are two main functions defined in a stack,push and pop,5.0,1
1344,What are the two main functions defined by a stack?,Push which inserts an element on the top of the stack and pop which removes the last inserted element from the stack.,push and pop,5.0,1
1345,What are the two main functions defined by a stack?,Push and pop.,push and pop,5.0,1
1346,What are the two main functions defined by a stack?,Pop function and Push function,push and pop,5.0,1
1347,What are the two main functions defined by a stack?,push and pop.,push and pop,5.0,1
1348,What are the two main functions defined by a stack?,pushinsert an itempopremove an item,push and pop,5.0,1
1349,What are the two main functions defined by a stack?,Adding a new item and removing the item,push and pop,5.0,1
1350,What are the two main functions defined by a stack?,Pushinsertand popretrieve.,push and pop,5.0,1
1351,What are the two main functions defined by a stack?,push and pop.,push and pop,5.0,1
1352,What are the two main functions defined by a stack?,Push and Pop.,push and pop,5.0,1
1353,What are the two main functions defined by a stack?,pop and push,push and pop,5.0,1
1354,What are the two main functions defined by a stack?,pushadd an elementpopremove an element,push and pop,5.0,1
1355,What are the two main functions defined by a stack?,Push and pop.,push and pop,5.0,1
1356,What are the two main functions defined by a stack?,pop and push,push and pop,5.0,1
1357,What are the two main functions defined by a stack?,pushto add to a item the StackPopto pull the last item added from an array.,push and pop,5.0,1
1358,What are the two main functions defined by a stack?,pop and push,push and pop,5.0,1
1359,What are the two main functions defined by a stack?,"push and pop, push puts an object into the list, and pop takes the last object off.",push and pop,5.0,1
1360,What are the two main functions defined by a stack?,Push and Pop are the two main functions of a stack,push and pop,5.0,1
1361,What are the two main functions defined by a stack?,Push and Pop,push and pop,5.0,1
1362,What are the two main functions defined by a stack?,"push, which adds an element to the stack ... and pop which takes an element off the stack",push and pop,5.0,1
1363,What are the two main functions defined by a stack?,"Push and Pop, which add and remove data from the stack, respectively.",push and pop,5.0,1
1364,What are the two main functions defined by a stack?,push and pop,push and pop,5.0,1
1365,What are the two main functions defined by a stack?,pop to remove item push to insert an element,push and pop,5.0,1
1366,What are the two main functions defined by a stack?,Pop and push,push and pop,5.0,1
1367,What are the two main functions defined by a stack?,pop and push,push and pop,5.0,1
1368,What are the two main functions defined by a stack?,push adds an item to the top of the stack pop removes the top item from the stack,push and pop,5.0,1
1369,What are the two main functions defined by a stack?,push and pop. Push adds a given node to the top of the stack leaving previous nodes below. Pop removes and returns the current top node of the stack,push and pop,5.0,1
1370,How can you implement a stack with an array?,An array has a fixed size. You can add and delete elements to the end of the array and you use a pointer to keep track of the last element added. Each time you add or delete an element you update the pointer and check if it is equal to the max size of the array.,"Keep the top of the stack toward the end of the array, so the push and pop operations will add or remove elements from the right side of the array.",5.0,1
1371,How can you implement a stack with an array?,By implementing an array of a pre-defined size with the bottom stack element stored at element 0 and the last element stored in the array is the top. You increment top when an element is pushed and you decrement it when an item is popped.,"Keep the top of the stack toward the end of the array, so the push and pop operations will add or remove elements from the right side of the array.",5.0,1
1372,How can you implement a stack with an array?,"If you use a dynamically allocated array, you must provide a destructor and copy constructor.","Keep the top of the stack toward the end of the array, so the push and pop operations will add or remove elements from the right side of the array.",3.0,0
1373,How can you implement a stack with an array?,Create a int value that stores the head of the stack. Increment the top when one element is pushed and decrement after it is popped.,"Keep the top of the stack toward the end of the array, so the push and pop operations will add or remove elements from the right side of the array.",5.0,1
1374,How can you implement a stack with an array?,Use a pointer that always points to the end of the array list for push or pop modifications.,"Keep the top of the stack toward the end of the array, so the push and pop operations will add or remove elements from the right side of the array.",4.5,1
1375,How can you implement a stack with an array?,if you used an array to implement a stack when you add an element just add it to the end of an array and remove items from end of array also.,"Keep the top of the stack toward the end of the array, so the push and pop operations will add or remove elements from the right side of the array.",4.5,1
1376,How can you implement a stack with an array?,You predetermine the size of the stack as you would an array. This type can not grow.,"Keep the top of the stack toward the end of the array, so the push and pop operations will add or remove elements from the right side of the array.",2.5,0
1377,How can you implement a stack with an array?,"Declare a variable that points the last item in the array, which increasesplus pluswhen items are pushed onto the stack, and decreases--when an item is popped off the top.","Keep the top of the stack toward the end of the array, so the push and pop operations will add or remove elements from the right side of the array.",5.0,1
1378,How can you implement a stack with an array?,"Allocate an array of some size. The bottom stack element is stored at some element. Last index in the array is the top. Increment top when one element is pushed, decrement after pop.","Keep the top of the stack toward the end of the array, so the push and pop operations will add or remove elements from the right side of the array.",4.5,1
1379,How can you implement a stack with an array?,"You allocate an pre-defined array, the bottom element is stored at element 0, and the last index is the head.","Keep the top of the stack toward the end of the array, so the push and pop operations will add or remove elements from the right side of the array.",4.0,1
1380,How can you implement a stack with an array?,"Make an array, make the bottom at spot 0, make the last spot in the array the top, and increment top when you ad","Keep the top of the stack toward the end of the array, so the push and pop operations will add or remove elements from the right side of the array.",4.5,1
1381,How can you implement a stack with an array?,treat the beginning of the array as the beginning of the stack,"Keep the top of the stack toward the end of the array, so the push and pop operations will add or remove elements from the right side of the array.",4.0,1
1382,How can you implement a stack with an array?,Use an index value called top to keep track of the last element in the array.,"Keep the top of the stack toward the end of the array, so the push and pop operations will add or remove elements from the right side of the array.",4.5,1
1383,How can you implement a stack with an array?,create an array and implement pointers that point to the next list item down and stack them up.,"Keep the top of the stack toward the end of the array, so the push and pop operations will add or remove elements from the right side of the array.",2.0,0
1384,How can you implement a stack with an array?,"for efficiency it is easiest to implement the left to right method, with the right most item being the one that is retrieved when a pop is performed, and a push places an object on the furthest element.","Keep the top of the stack toward the end of the array, so the push and pop operations will add or remove elements from the right side of the array.",3.5,0
1385,How can you implement a stack with an array?,"Create an array based on a pre-defined size N There cannot be more elements than N. Bottom stack element stored at element 0 last index in the array is the top Increment top when one element is pushed, decrement after pop","Keep the top of the stack toward the end of the array, so the push and pop operations will add or remove elements from the right side of the array.",4.5,1
1386,How can you implement a stack with an array?,"with the element added to the array, so that the last element added is at the end, and when the element is popped it takes the last element off the array","Keep the top of the stack toward the end of the array, so the push and pop operations will add or remove elements from the right side of the array.",4.0,1
1387,How can you implement a stack with an array?,Allocate an array of some pre-defined size. Bottom stack element stored at element 0. The last index in the array is the top. Increment top when one element is pushed.,"Keep the top of the stack toward the end of the array, so the push and pop operations will add or remove elements from the right side of the array.",4.5,1
1388,How can you implement a stack with an array?,"Create an array, size N. N plus plus when one element is pushed. N --when one element is popped.","Keep the top of the stack toward the end of the array, so the push and pop operations will add or remove elements from the right side of the array.",4.0,1
1389,How can you implement a stack with an array?,define an array and keep track of a pointer to the last element as items are added,"Keep the top of the stack toward the end of the array, so the push and pop operations will add or remove elements from the right side of the array.",4.0,1
1390,How can you implement a stack with an array?,"By allocating an array of predetermined size, and an integer to track the top element of the stack. The bottom member of the stack will go in element 0 of the array, and for each element pushed the top tracking integer is incremented.","Keep the top of the stack toward the end of the array, so the push and pop operations will add or remove elements from the right side of the array.",4.5,1
1391,How can you implement a stack with an array?,"Allocate an array of some size, bottom stack element stored at element 0","Keep the top of the stack toward the end of the array, so the push and pop operations will add or remove elements from the right side of the array.",4.0,1
1392,How can you implement a stack with an array?,you store the stack in the array but you have to keep in mind the first element,"Keep the top of the stack toward the end of the array, so the push and pop operations will add or remove elements from the right side of the array.",3.0,0
1393,How can you implement a stack with an array?,You keep track of the last item entered into the array and do not allow the user access to the other parts of the array.,"Keep the top of the stack toward the end of the array, so the push and pop operations will add or remove elements from the right side of the array.",4.0,1
1394,How can you implement a stack with an array?,"using arrays, you are pushing one int at a time into the stack until you get to the end of your array","Keep the top of the stack toward the end of the array, so the push and pop operations will add or remove elements from the right side of the array.",4.0,1
1395,How can you implement a stack with an array?,"by having a max number of elements, allocating an array with that number of elements, storing the elements starting at 0, and keeping track of how many elements are currently in the list","Keep the top of the stack toward the end of the array, so the push and pop operations will add or remove elements from the right side of the array.",4.0,1
1396,How can you implement a stack with an array?,"Stack usually holds a bunch of items with the same type, therefore u can use an array, to hold the content of the stack and an integer top that holds the index of the element at the top of the stack. u Choose an array size. Then the sequence of operations used. u have to decide what data types are needed for this stack data structure.","Keep the top of the stack toward the end of the array, so the push and pop operations will add or remove elements from the right side of the array.",3.0,0
1397,How can you implement a stack with a list?,You can add an element to the end of the linked list and update a pointer called top each time you modify the list.,"Keep the top of the stack pointing to the head of the linked list, so the push and pop operations will add or remove elements at the beginning of the list.",3.0,0
1398,How can you implement a stack with a list?,You implement a list in which the head pointer points to the element most recently pushed onto the list and the pop function changes the head pointer to point to the next to last element in the list and removes the element head pointer previously pointed to.,"Keep the top of the stack pointing to the head of the linked list, so the push and pop operations will add or remove elements at the beginning of the list.",5.0,1
1399,How can you implement a stack with a list?,This is the implementation of the stack using single linked list. The operations performed on a stack are 1push : This is the function which is for insertionpushingof an element into stack It is similar to the insertion of an element at the end of a single linked list see the function insert end in the program for operations of single linked list 2pop : This is the function which is for deletionpopping upof an element from the stack It is similar to the deletion of an element at the end of a single linked list see the function delete end in the program for operations of single linked list 3stack display : This is the function which is for displaying the elements of a stack,"Keep the top of the stack pointing to the head of the linked list, so the push and pop operations will add or remove elements at the beginning of the list.",4.0,1
1400,How can you implement a stack with a list?,Using nodes to keep track of the head of the stack. Then using Push and Pop to create the stack as needed.,"Keep the top of the stack pointing to the head of the linked list, so the push and pop operations will add or remove elements at the beginning of the list.",4.0,1
1401,How can you implement a stack with a list?,"Use the head as the top of the stack, only modify the head when you push or pop ... push would add a new item to the head, pop would remove the item from the head.","Keep the top of the stack pointing to the head of the linked list, so the push and pop operations will add or remove elements at the beginning of the list.",4.5,1
1402,How can you implement a stack with a list?,you implement a stack with a list by changing the pointer to the first element of the list to the new item and move the pointer from the top of the stack to the next item when removing an item.,"Keep the top of the stack pointing to the head of the linked list, so the push and pop operations will add or remove elements at the beginning of the list.",4.5,1
1403,How can you implement a stack with a list?,You dynamicly create space as the stack grows. The stack can be as long as you need.,"Keep the top of the stack pointing to the head of the linked list, so the push and pop operations will add or remove elements at the beginning of the list.",2.5,0
1404,How can you implement a stack with a list?,"Declare a pointer that points to the head of the linked list, only add and remove nodes from the beginning of the list.","Keep the top of the stack pointing to the head of the linked list, so the push and pop operations will add or remove elements at the beginning of the list.",5.0,1
1405,How can you implement a stack with a list?,Creating a linked list. Add an element to the top of the stack when pushing and deleting an element when popping.,"Keep the top of the stack pointing to the head of the linked list, so the push and pop operations will add or remove elements at the beginning of the list.",4.0,1
1406,How can you implement a stack with a list?,"A singly-linked list is already a lot like a stack, it just depends on the way you address moving the head.","Keep the top of the stack pointing to the head of the linked list, so the push and pop operations will add or remove elements at the beginning of the list.",3.5,0
1407,How can you implement a stack with a list?,"make a list, make the bottom the head, add on the end and make the end top","Keep the top of the stack pointing to the head of the linked list, so the push and pop operations will add or remove elements at the beginning of the list.",3.5,0
1408,How can you implement a stack with a list?,use the add function with a list as the beginning of the stack and remove for pop,"Keep the top of the stack pointing to the head of the linked list, so the push and pop operations will add or remove elements at the beginning of the list.",4.5,1
1409,How can you implement a stack with a list?,Use head as the top and push and pop nodes from the head.,"Keep the top of the stack pointing to the head of the linked list, so the push and pop operations will add or remove elements at the beginning of the list.",4.5,1
1410,How can you implement a stack with a list?,create a node based list that points to the next list item down.,"Keep the top of the stack pointing to the head of the linked list, so the push and pop operations will add or remove elements at the beginning of the list.",1.5,0
1411,How can you implement a stack with a list?,"have the head of the list be the last item added, and a push just adds a new head.","Keep the top of the stack pointing to the head of the linked list, so the push and pop operations will add or remove elements at the beginning of the list.",4.5,1
1412,How can you implement a stack with a list?,"Create a new list. Pop elements in the stack as needed. Push the stack to remove items, unless the stack is empty. The top item is at the head of the list. The last item is at the end.","Keep the top of the stack pointing to the head of the linked list, so the push and pop operations will add or remove elements at the beginning of the list.",4.5,1
1413,How can you implement a stack with a list?,adding the element to the end of the list so that it links to the element before it. when popping the element it takes the last element in the list and sets the previous one as the end of the list.,"Keep the top of the stack pointing to the head of the linked list, so the push and pop operations will add or remove elements at the beginning of the list.",3.5,0
1414,How can you implement a stack with a list?,"You can implement a stack using arrays or and linked list. By the use of pointers, that point elementnodeto the next element in the stack. By the use of pointers, the stack becomes a linked list.","Keep the top of the stack pointing to the head of the linked list, so the push and pop operations will add or remove elements at the beginning of the list.",2.5,0
1415,How can you implement a stack with a list?,Elements are only inserted and removed from the head of the list. There is no header node or current pointer.,"Keep the top of the stack pointing to the head of the linked list, so the push and pop operations will add or remove elements at the beginning of the list.",4.5,1
1416,How can you implement a stack with a list?,use a linked list and keep track of a pointer that points to the first item,"Keep the top of the stack pointing to the head of the linked list, so the push and pop operations will add or remove elements at the beginning of the list.",4.0,1
1417,How can you implement a stack with a list?,"A singly linked list can already be easily used for LIFO data storage. Members of a stack can simply be pushed and popped from a list, the first item in will be the last out.","Keep the top of the stack pointing to the head of the linked list, so the push and pop operations will add or remove elements at the beginning of the list.",4.5,1
1418,How can you implement a stack with a list?,using pointer,"Keep the top of the stack pointing to the head of the linked list, so the push and pop operations will add or remove elements at the beginning of the list.",1.5,0
1419,How can you implement a stack with a list?,the top is the first pointer.,"Keep the top of the stack pointing to the head of the linked list, so the push and pop operations will add or remove elements at the beginning of the list.",3.0,0
1420,How can you implement a stack with a list?,Keep a pointer pointing to the last element entered at the front of the array and move the pointer back when you delete an element.,"Keep the top of the stack pointing to the head of the linked list, so the push and pop operations will add or remove elements at the beginning of the list.",2.5,0
1421,How can you implement a stack with a list?,"using linked list, you are pushing the node that contains each int to the stack until you get to the end of your linked list","Keep the top of the stack pointing to the head of the linked list, so the push and pop operations will add or remove elements at the beginning of the list.",2.5,0
1422,How can you implement a stack with a list?,"have a linked list, and for each push, add an item onto beginning of the list, and for each pop remove the first element in the list.","Keep the top of the stack pointing to the head of the linked list, so the push and pop operations will add or remove elements at the beginning of the list.",5.0,1
1423,How can you implement a stack with a list?,"Using a linked list is one way to implement a stack so that it can handle essentially any number of elements. It is usually convenient to put a data structure in its own module, thus, you will want to create files stack. h and a stack. c","Keep the top of the stack pointing to the head of the linked list, so the push and pop operations will add or remove elements at the beginning of the list.",2.0,0
1424,"Which implementation -LRB- array-based vs. list-based -RRB- is preferred, and why?","List based is preferred because it is not constrained to a fix size. The down fall is that it takes up more memory because each node has at least two parts, the item and the pointer.","Link-based, because they are dynamicno size constraints",5.0,1
1425,"Which implementation -LRB- array-based vs. list-based -RRB- is preferred, and why?",List based is preferred because the stack you create is not limited in size and can increase or decrease in size as needed.,"Link-based, because they are dynamicno size constraints",5.0,1
1426,"Which implementation -LRB- array-based vs. list-based -RRB- is preferred, and why?","Array-based prevents the push operation from adding an item to the stack if the stack 's size limit, which is the size of the array, has been reached. List-base much simpler to write and does not have a fixed size.","Link-based, because they are dynamicno size constraints",5.0,1
1427,"Which implementation -LRB- array-based vs. list-based -RRB- is preferred, and why?","Array based because they are faster, easier to keep track of and less complexity in code.","Link-based, because they are dynamicno size constraints",2.5,0
1428,"Which implementation -LRB- array-based vs. list-based -RRB- is preferred, and why?",list-based because it does not use a fixed size like an array would.,"Link-based, because they are dynamicno size constraints",5.0,1
1429,"Which implementation -LRB- array-based vs. list-based -RRB- is preferred, and why?",usually linked list because it does not have a fixed size. But if you know or want to set a max size array is better.,"Link-based, because they are dynamicno size constraints",5.0,1
1430,"Which implementation -LRB- array-based vs. list-based -RRB- is preferred, and why?",List-based. Allows more flexablity with size of the stack.,"Link-based, because they are dynamicno size constraints",5.0,1
1431,"Which implementation -LRB- array-based vs. list-based -RRB- is preferred, and why?",Linked lists are preferred for implementing stacks because they are not limited to a set number of elements.,"Link-based, because they are dynamicno size constraints",5.0,1
1432,"Which implementation -LRB- array-based vs. list-based -RRB- is preferred, and why?",The list-based implementation is preferred since the big O1is very efficient.,"Link-based, because they are dynamicno size constraints",3.0,0
1433,"Which implementation -LRB- array-based vs. list-based -RRB- is preferred, and why?","Linked list implementation is preferred. That way, the list can be moved along without iteration.","Link-based, because they are dynamicno size constraints",3.0,0
1434,"Which implementation -LRB- array-based vs. list-based -RRB- is preferred, and why?",list because it its size is not determined,"Link-based, because they are dynamicno size constraints",5.0,1
1435,"Which implementation -LRB- array-based vs. list-based -RRB- is preferred, and why?",Linked list because it takes up less memory and is scalable,"Link-based, because they are dynamicno size constraints",3.0,0
1436,"Which implementation -LRB- array-based vs. list-based -RRB- is preferred, and why?","List-based, as the list can be grown dynamically, and as the head node is easily accessible.","Link-based, because they are dynamicno size constraints",5.0,1
1437,"Which implementation -LRB- array-based vs. list-based -RRB- is preferred, and why?",list based because the nodes are easier to work with and can be traversed easier,"Link-based, because they are dynamicno size constraints",3.0,0
1438,"Which implementation -LRB- array-based vs. list-based -RRB- is preferred, and why?","list based, because of the lower processing overhead and nearly unlimited space, due to linked list design.","Link-based, because they are dynamicno size constraints",5.0,1
1439,"Which implementation -LRB- array-based vs. list-based -RRB- is preferred, and why?","list-based It can grow and shrink dynamically, unlike the fixed size array.","Link-based, because they are dynamicno size constraints",5.0,1
1440,"Which implementation -LRB- array-based vs. list-based -RRB- is preferred, and why?","list based because arrays can become full, lists can grow or shrink as needed","Link-based, because they are dynamicno size constraints",5.0,1
1441,"Which implementation -LRB- array-based vs. list-based -RRB- is preferred, and why?",List-bases implentation is preferred. One of the main reasons is because of that the list has no fixed size.,"Link-based, because they are dynamicno size constraints",5.0,1
1442,"Which implementation -LRB- array-based vs. list-based -RRB- is preferred, and why?",Array is preferred. Linked list implementation requires extra space to store pointers. Space is allocated dynamically in the list-based which takes more time.,"Link-based, because they are dynamicno size constraints",2.5,0
1443,"Which implementation -LRB- array-based vs. list-based -RRB- is preferred, and why?",link list is preferred because it makes pushing elements easier because there is no limit other than memory to the number of elements,"Link-based, because they are dynamicno size constraints",5.0,1
1444,"Which implementation -LRB- array-based vs. list-based -RRB- is preferred, and why?","List-based implementation is much easier to implement, and allows the stack to scale as necessary. It is therefore the preferred implementation.","Link-based, because they are dynamicno size constraints",5.0,1
1445,"Which implementation -LRB- array-based vs. list-based -RRB- is preferred, and why?",Array based implementation requires less memory than a list based. inceasing the size of a resizeable array can waste storage and time,"Link-based, because they are dynamicno size constraints",3.5,0
1446,"Which implementation -LRB- array-based vs. list-based -RRB- is preferred, and why?","in an array based stack you would need to pre-determine a size, where in a list you can increase or decrease the size however you want.","Link-based, because they are dynamicno size constraints",5.0,1
1447,"Which implementation -LRB- array-based vs. list-based -RRB- is preferred, and why?",A list-based implementation is preferred because the list is more flexible than a array.,"Link-based, because they are dynamicno size constraints",5.0,1
1448,"Which implementation -LRB- array-based vs. list-based -RRB- is preferred, and why?",i would think a list based would be better because you can change the pointers of the nodes to add or remove things from your stack,"Link-based, because they are dynamicno size constraints",4.0,1
1449,"Which implementation -LRB- array-based vs. list-based -RRB- is preferred, and why?","list based, because it is much more flexible, easier to use, and doesnt need to have a max size defined when it is made.","Link-based, because they are dynamicno size constraints",5.0,1
1450,"Which implementation -LRB- array-based vs. list-based -RRB- is preferred, and why?",array based list is preferred because it can hold any size as long as u specify it.,"Link-based, because they are dynamicno size constraints",1.0,0
1451,How are infix expressions evaluated by computers?,They are converted to post fix expressions. It still follow the order of precedence for the operators.,"First, they are converted into postfix form, followed by an evaluation of the postfix expression.",5.0,1
1452,How are infix expressions evaluated by computers?,They are first converted to postfix expressions and then evaluated.,"First, they are converted into postfix form, followed by an evaluation of the postfix expression.",5.0,1
1453,How are infix expressions evaluated by computers?,"Computers cannot evaulate infix expressions, it must first convert infix to postfix expression then it can evaluate.","First, they are converted into postfix form, followed by an evaluation of the postfix expression.",5.0,1
1454,How are infix expressions evaluated by computers?,By using parentheses to have order in the expression.,"First, they are converted into postfix form, followed by an evaluation of the postfix expression.",2.5,0
1455,How are infix expressions evaluated by computers?,In postfix notation.,"First, they are converted into postfix form, followed by an evaluation of the postfix expression.",4.0,1
1456,How are infix expressions evaluated by computers?,computers usually convert infix expressions to post fix expression and evaluate them using a stack.,"First, they are converted into postfix form, followed by an evaluation of the postfix expression.",5.0,1
1457,How are infix expressions evaluated by computers?,they are converted to postfix,"First, they are converted into postfix form, followed by an evaluation of the postfix expression.",5.0,1
1458,How are infix expressions evaluated by computers?,Infix expressions are interpreted as postfix expressions by implementing stacks.,"First, they are converted into postfix form, followed by an evaluation of the postfix expression.",5.0,1
1459,How are infix expressions evaluated by computers?,They are first converted into an equivalent postfix expression so it can be read by the computer.,"First, they are converted into postfix form, followed by an evaluation of the postfix expression.",5.0,1
1460,How are infix expressions evaluated by computers?,"The computer translates the infix expression to a postfix expression, then solves.","First, they are converted into postfix form, followed by an evaluation of the postfix expression.",5.0,1
1461,How are infix expressions evaluated by computers?,in postfix format,"First, they are converted into postfix form, followed by an evaluation of the postfix expression.",4.0,1
1462,How are infix expressions evaluated by computers?,they use parenthisis and a stack to determine which evaluations need to be made first,"First, they are converted into postfix form, followed by an evaluation of the postfix expression.",3.0,0
1463,How are infix expressions evaluated by computers?,By throwing variables into a postfix expression and operands onto a parentheses regulated stack until end parentheses and enough variables to operate on are encountered.,"First, they are converted into postfix form, followed by an evaluation of the postfix expression.",4.5,1
